商品コード,SKUID,商品名,グループ,部門,カテゴリ,サブカテ,is_selected
4560458091013 ,14560458091010 ,シェリーズ ミックスオリーブ種抜 65g,221,21,3,5,1
4901301272140 ,14901301272147 ,【泡タイプ】花王 キュレル 泡洗顔料 つめかえ用 130ml,381,310,14,1,1
4902115382254 ,14902115382251 ,日本ハム 明太子チーズフランス 4本入,221,16,3,6,1
4902130392030 ,14902130392037 ,ニチレイフーズ ミニハンバーグ 5個入（110g）,221,24,3,3,1
4903110057369 ,14903110057366 ,ヤマザキ コッペパン つぶあん＆マーガリン 1個入,221,17,9,5,1
4904670464543 ,14904670464540 ,宝酒造 焼酎ハイボール レモン 350ml,214,9,5,2,1
4987035090014 ,14987035090011 ,大塚製薬 カロリーメイトブロック フルーツ味 80g（4本入）,211,805,7,1,1
4549741430791 ,14549741430798 ,トップバリュベストプライス 紅茶 1.8g×100袋入,211,2,5,1,1
4549741533638 ,14549741533635 ,トップバリュベストプライス Sparkling Water 炭酸水 グレープフルーツ 500ml,211,74,2,2,1
4549741658485 ,14549741658482 ,トップバリュ ノンシュガーフルーツのど飴 76g,211,1,1,4,1
4901390132738 ,14901390132735 ,加藤美蜂園本舗 サクラ はちみつ ハンディー 15g×10,211,2,2,2,1
4902820220513 ,14902820220510 ,丸美屋 ドラえもんカレー ポーク＆野菜 甘口 145g,211,5,3,1,1
4909411090517 ,14909411090514 ,キリンビバレッジ ファイアワンデイラテ微糖 600ml,211,74,1,7,1
4523160475762 ,14523160475769 ,パールエース 上白糖 1kg,211,3,2,1,1
4549414141863 ,14549414141860 ,トップバリュベストプライス 小粒せん入りピーナッツ 85g,211,1,6,2,1
4549414446999 ,14549414446996 ,トップバリュベストプライス しあわせのもっちり仕込みレーズンバターロール 6個,221,17,1,5,1
4549414448498 ,14549414448495 ,トップバリュベストプライス おさかなソーセージ 280g（70g×4）,221,52,1,9,1
4549414464085 ,14549414464082 ,トップバリュベストプライス とろけるスライスチーズ 15g×12枚入,221,21,3,2,1
4901306063040 ,14901306063047 ,カゴメ カゴメケチャップハーフ 275g,211,3,7,1,1
4901360354122 ,14901360354129 ,ブルボン チョコ＆コーヒービスケット 24枚入,211,1,1,1,1
4901588218626 ,14901588218623 ,ギンビス たべっこどうぶつバター味 5連 85g,211,1,5,4,1
4901990372367 ,14901990372364 ,東洋水産 マルちゃん麺づくり 合わせ味噌 104g,211,5,8,3,1
4902106647621 ,14902106647628 ,ミツカン 追いかつおつゆ2倍 1L,211,3,17,1,1
4902108300203 ,14902108300200 ,中沢乳業 フレッシュクリーム36％ 200ml,221,20,4,1,1
4902121113729 ,14902121113726 ,トップバリュ 皮むきいりごま 80g,211,4,8,2,1
4902881054737 ,14902881054734 ,明星食品 中華三昧 赤坂璃宮 広東風醤油 104g,211,5,10,1,1
